"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"1512","LYNAUGH UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1102,1416,10000203,"440000000077500000000","Current","HIFLD","HIFLD",30.78928247,-103.0487007,48371,79735,"FORT STOCKTON","PECOS"
"1513","MARLIN UNIT","Texas","state","Prison","Min","A","F",NA,NA,455,606,10002828,"440000000776000000000","Current","HIFLD","HIFLD",31.29440473,-96.8805008,48145,76661,"MARLIN","FALLS"
"1514","MATAGORDA COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1515","MAVERICK COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1516","MAVERICK P COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1517","MCCONNELL UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2731,2900,10000248,"440000000075000000000","Current","HIFLD","HIFLD",28.37227446,-97.71691856,48025,78102,"BEEVILLE","BEE"
"1518","MCLENNAN COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1519","MICHAEL UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2903,3305,10000186,"440000000074500000000","Current","HIFLD","HIFLD",31.794695,-95.90319339,48001,75886,"TENNESSEE COLONY","ANDERSON"
"1520","MID VALLEY HOUSE","Texas","federal","Transitional Center",NA,NA,NA,"Different Operator","GeoGroup",NA,NA,NA,"448108666071600000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"1521","MIDDLETON UNIT","Texas","state","Prison","Med/Min","A","M",NA,NA,1803,2128,10000176,"440000000079100000000","Current","HIFLD","HIFLD",32.56202,-99.63165,48253,79601,"ABILENE","JONES"
"1522","MILAM COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1523","MONTFORD UNIT","Texas","state","Prison",NA,"A","M",NA,NA,755,1046,10002729,"440000000079993000000","Current","HIFLD","HIFLD",33.51548506,-101.7869685,48303,79404,"LUBBOCK","LUBBOCK"
"1524","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1525","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1526","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1527","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1528","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1529","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1530","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1531","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1532","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1533","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1534","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1535","MONTGOMERY COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,904,1253,10001988,NA,"Current","HIFLD","HIFLD",30.33509629,-95.45191819,48339,77301,"CONROE","MONTGOMERY"
"1536","MOORE B UNIT","Texas","state","Prison","Min","A","M","Different Operator",NA,476,500,10000183,"448000000079930000000","Current","HIFLD","HIFLD",32.31730985,-94.96590511,48401,75684,"OVERTON","RUSK"
"1537","MOORE C UNIT","Texas","state","Prison","Min","A","M",NA,NA,997,1224,10002725,"440000000077700000000","Current","HIFLD","HIFLD",33.59072532,-96.23036195,48147,75418,"BONHAM","FANNIN"
"1538","MOUNTAIN VIEW UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,492,645,10000194,"440000000070900000000","Current","HIFLD","HIFLD",31.48682559,-97.72784142,48099,76528,"GATESVILLE","CORYELL"
"1539","MOUNTAIN VIEW UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,492,645,NA,NA,"Current","Public Records","Public Records",NA,NA,NA,NA,NA,NA
"1540","MURRAY UNIT","Texas","state","Prison","Max/Min","A","F",NA,NA,1076,1341,10001274,"440000000079998000000","Current","HIFLD","HIFLD",31.47648891,-97.72648269,48099,76596,"GATESVILLE","CORYELL"
"1541","NACOGDOCHES COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1542","NEAL UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1641,1732,10000154,"440000000077800000000","Current","HIFLD","HIFLD",35.24148168,-101.7305376,48375,79107,"AMARILLO","POTTER"
"1543","NEY UNIT","Texas","state","Prison","Min","A","M",NA,NA,430,576,10000238,"440000000077200000000","Current","HIFLD","HIFLD",29.3502651,-99.1992587,48325,78861,"HONDO","MEDINA"
"1544","NO LONGER IN CUSTODY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1545","NOLAN COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1546","NUECES COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1547","PACK UNIT","Texas","state","Aged and Infirmed","Med/Min","A","M",NA,NA,1122,1478,10002838,"440000000072500000000","Current","HIFLD","HIFLD",30.32334402,-96.10551122,48185,77868,"NAVASOTA","GRIMES"
"1548","PARKER COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,429,449,10002746,NA,"Current","HIFLD","HIFLD",NA,NA,48367,76086,"WEATHERFORD","PARKER"
"1549","PECOS","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1550","PLANE UNIT","Texas","state","Hybrid","Min","A","F",NA,NA,1365,2291,10002844,"440000000079600000000","Current","HIFLD","HIFLD",30.1092665,-94.9346766,48291,77535,"DAYTON","LIBERTY"
"1551","POLUNSKY UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2924,2984,10000205,"440000000075500000000","Current","HIFLD","HIFLD",30.69855642,-95.01474788,48373,77351,"LIVINGSTON","POLK"
"1552","POTTER COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,35,73,10000710,NA,"Current","HIFLD","HIFLD",NA,NA,42105,16915,"COUDERSPORT","POTTER"
"1553","POTTER COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,35,73,10000710,NA,"Current","HIFLD","HIFLD",NA,NA,42105,16915,"COUDERSPORT","POTTER"
"1554","POWLEDGE UNIT","Texas","state","Prison","Med/Min","A","M",NA,NA,805,1137,10000185,"440000000072000000000","Current","HIFLD","HIFLD",31.73304122,-95.80435636,48001,75803,"PALESTINE","ANDERSON"
"1555","RAMSEY UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1635,1891,10000242,"440000000070700000000","Current","HIFLD","HIFLD",29.31044758,-95.53701863,48039,77583,"ROSHARON","BRAZORIA"
"1556","ROACH UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1286,1384,10000156,"440000000075100000000","Current","HIFLD","HIFLD",34.43132644,-100.2759239,48075,79201,"CHILDRESS","CHILDRESS"
"1557","ROBERTSON UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2725,2984,10000175,"440000000075200000000","Current","HIFLD","HIFLD",32.55635046,-99.63324736,48253,79601,"ABILENE","JONES"
"1558","RRC DALLAS TX","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,48113,NA,NA,NA
"1559","RUDD UNIT","Texas","state","Prison",NA,"A","M",NA,NA,228,612,10000160,"440000000077900000000","Current","HIFLD","HIFLD",33.15819993,-102.2802195,48445,79316,"BROWNFIELD","TERRY"
"1560","SAN AUGUSTINE COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1561","SAN PATRICIO COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1562","SAN SABA UNIT","Texas","state","Prison","Min","A","F",NA,NA,448,606,10000199,"440000000078000000000","Current","HIFLD","HIFLD",31.19971688,-98.76270573,48411,76877,"SAN SABA","SAN SABA"
"1563","SANCHEZ UNIT","Texas","state","Hybrid","Min","A","M",NA,NA,725,1100,10002802,"440000000079999000000","Current","HIFLD","HIFLD",31.81495327,-106.2540493,48141,79938,"EL PASO","EL PASO"
"1564","SAYLE UNIT","Texas","state","Prison",NA,"A","M",NA,NA,276,632,10002759,"440000000078100000000","Current","HIFLD","HIFLD",32.80086007,-98.8461341,48429,76424,"BRECKENRIDGE","STEPHENS"
"1565","SCOTT UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,984,1130,10000245,"440000000070600000000","Current","HIFLD","HIFLD",29.09093506,-95.4825132,48039,77515,"ANGLETON","BRAZORIA"
"1566","SEAGOVILLE FCI","Texas",NA,NA,NA,NA,NA,NA,NA,1829,1437,10000172,"446057666071800000000","Previous","HIFLD","HIFLD",32.6552168,-96.56760598,48113,75159,"SEAGOVILLE","DALLAS"
"1567","SEGOVIA UNIT","Texas","state","Prison","Min","A","M",NA,NA,1074,1224,10002940,"440000000078200000000","Current","HIFLD","HIFLD",26.41737513,-98.1205608,48215,78542,"EDINBURG","HIDALGO"
"1568","SKYVIEW UNIT","Texas","state","Medical Facility",NA,"A","B",NA,NA,479,562,10002791,"440000000073500000000","Current","HIFLD","HIFLD",31.80817742,-95.16273078,48073,75785,"RUSK","CHEROKEE"
"1569","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,1559,2234,10002758,"440000000075300000000","Current","HIFLD","HIFLD",32.72666898,-101.9107456,48115,79331,"LAMESA","DAWSON"
"1570","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,1559,2234,10002758,"440000000075300000000","Current","HIFLD","HIFLD",32.72666898,-101.9107456,48115,79331,"LAMESA","DAWSON"
"1571","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,1559,2234,10002758,"440000000075300000000","Current","HIFLD","HIFLD",32.72666898,-101.9107456,48115,79331,"LAMESA","DAWSON"
"1572","SMITH UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1495,2234,10002758,"440000000075300000000","Current","HIFLD","HIFLD",32.72666898,-101.9107456,48115,79331,"LAMESA","DAWSON"
"1573","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,400,432,10002766,NA,"Current","HIFLD","HIFLD",32.39010504,-95.32790165,48423,75702,"TYLER","SMITH"
"1574","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,400,432,10002766,NA,"Current","HIFLD","HIFLD",32.39010504,-95.32790165,48423,75702,"TYLER","SMITH"
"1575","SMITH COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,400,432,10002766,NA,"Current","HIFLD","HIFLD",32.39010504,-95.32790165,48423,75702,"TYLER","SMITH"
"1576","SOUTH CENTRAL REGIONAL OFFICE","Texas","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1577","STARR COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1578","STATEWIDE","Texas","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1579","STEPHENS COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1580","STEVENSON UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1100,1384,10002900,"440000000078300000000","Current","HIFLD","HIFLD",29.13430147,-97.29765002,48123,77954,"CUERO","DEWITT"
"1581","STILES UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2578,2981,10000229,"440000000075400000000","Current","HIFLD","HIFLD",29.98843685,-94.05249596,48245,77705,"BEAUMONT","JEFFERSON"
"1582","STRINGFELLOW UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1012,1212,10000244,"440000000079999400000","Current","HIFLD","HIFLD",29.28580592,-95.54729982,48039,77583,"ROSHARON","BRAZORIA"
"1583","TARRANT COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,NA,26,10005946,NA,"Current","HIFLD","HIFLD",41.38815977,-81.44421699,39035,44139,"SOLON","CUYAHOGA"
"1584","TAYLOR COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1585","TELFORD UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2769,2872,10002731,"440000000078400000000","Current","HIFLD","HIFLD",33.42068417,-94.47356067,48037,75570,"NEW BOSTON","BOWIE"
"1586","TERRELL UNIT","Texas","state","Prison","Med/Min","A","M",NA,NA,1499,1603,10000241,"440000000072700000000","Current","HIFLD","HIFLD",29.29922211,-95.53861964,48039,77583,"ROSHARON","BRAZORIA"
"1587","TEXARKANA FEDERAL CORRECTIONAL INSTITUTION","Texas","federal","Prison",NA,NA,NA,NA,NA,874,745,10005113,"446019666072200000000","Current","HIFLD","HIFLD",33.3770826,-94.08842458,48037,75501,"TEXARKANA","BOWIE"
"1588","TEXAS COMMISSION ON JAIL STANDARDS","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1589","THE GEO GROUP INC RRC HOUSTON","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1590","THREE RIVERS FEDERAL CORRECTIONAL INSTITUTION","Texas","federal","Prison",NA,NA,NA,NA,NA,NA,NA,NA,"446149666071200000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"1591","TOM GREEN COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1592","TORRES UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1310,1384,10000237,"440000000075600000000","Current","HIFLD","HIFLD",29.35189011,-99.19614816,48325,78861,"HONDO","MEDINA"
"1593","TRAVIS COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,2340,2806,10002842,NA,"Current","HIFLD","HIFLD",30.19940069,-97.64734785,48453,78617,"DEL VALLE","TRAVIS"
"1594","TRAVIS COUNTY STATE JAIL","Texas","state","Hybrid","Min","A","M",NA,NA,743,1161,10002842,NA,"Current","HIFLD","HIFLD",30.19940069,-97.64734785,48453,78617,"DEL VALLE","TRAVIS"
"1595","TRAVIS COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,NA,NA,NA,"440000000079996100000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"1596","TULIA UNIT","Texas","state","Prison","Min","A","M",NA,NA,522,606,10000155,"440000000078500000000","Current","HIFLD","HIFLD",34.53122999,-101.812789,48437,79088,"TULIA","SWISHER"
"1597","VANCE UNIT","Texas","state","Prison","Min","A","M",NA,NA,300,378,10002885,"440000000071800000000","Current","HIFLD","HIFLD",29.62119249,-95.69269771,48157,77406,"RICHMOND","FORT BEND"
"1598","VICTORIA COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1599","VOLUNTEERS OF AMERICA DALLAS TX","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1600","VOLUNTEERS OF AMERICA FORT WORTH TEXAS","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"448000000078083000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1601","VOLUNTEERS OF AMERICA TEXAS INC RRC HUTCHINS","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"448057666079177800000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1602","WALLACE UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,1092,1444,10000180,"440000000078600000000","Current","HIFLD","HIFLD",32.39929603,-100.880095,48335,79512,"COLORADO CITY","MITCHELL"
"1603","WASHINGTON COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1604","WEBB COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,485,570,10002922,NA,"Current","HIFLD","HIFLD",27.50818812,-99.50609338,48479,78040,"LAREDO","WEBB"
"1605","WEST TEXAS RMF","Texas",NA,NA,NA,NA,NA,NA,NA,0,275,10002740,"448000000078092000000","Previous","HIFLD","HIFLD",NA,NA,48445,79316,"BROWNFIELD","TERRY"
"1606","WHARTON COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1607","WHEELER STATE JAIL","Texas","state","Hybrid","Min","A","M",NA,NA,456,576,10002713,"440000000079700000000","Current","HIFLD","HIFLD",34.1802992,-101.6462696,48189,79072,"PLAINVIEW","HALE"
"1608","WICHITA COUNTY JAIL","Texas","county","Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1609","WILLACY JAIL","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"448000000079999000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1610","WILLACY STATE JAIL","Texas","state","Hybrid","Min","A","M",NA,NA,953,1069,10000252,"448245666079140000000","Current","HIFLD","HIFLD",26.46757561,-97.76579452,48489,78580,"RAYMONDVILLE","WILLACY"
"1611","WILLIAMSON COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1612","WOODMAN UNIT","Texas","state","Hybrid","Min","A","M",NA,NA,420,900,10000195,"440000000079996300000","Current","HIFLD","HIFLD",31.45996943,-97.72990918,48099,76528,"GATESVILLE","CORYELL"
"1613","WYNNE UNIT","Texas","state","Prison","Max/Min","A","M",NA,NA,2509,2521,10000211,"440000000070500000000","Current","HIFLD","HIFLD",30.7412432,-95.57680678,48471,77349,"HUNTSVILLE","WALKER"
"1614","YOUNG","Texas",NA,NA,NA,NA,NA,NA,NA,432,455,10002897,"440000000079994000000","Previous","HIFLD","HIFLD",29.42768,-94.98141,48167,77539,"DICKINSON","GALVESTON"
"1615","ZAPATA COUNTY","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1616","ATHERTON COMMUNITY TREATMENT CENTER","Utah","state","Prison",NA,"A","F",NA,NA,NA,60,NA,NA,"Current",NA,"Public Records",40.7199018,-111.9559385,49035,84119,"WEST VALLEY CITY",NA
"1617","BONNEVILLE COMMUNITY CORRECTIONAL CENTER","Utah","state","Prison",NA,"A","M",NA,NA,NA,74,NA,"450000000070900000000","Current",NA,"Public Records",40.744817,-111.954379,49035,84104,"SALT LAKE CITY",NA
"1618","CENTRAL UTAH CORRECTIONAL FACILITY GUNNISON","Utah","state","Prison",NA,"A","M",NA,NA,1700,1600,10002617,"450000000071200000000","Current","HIFLD","HIFLD",39.16624296,-111.811498,49039,84634,"GUNNISON","SANPETE"
"1619","FORTITUDE TREATMENT CENTER","Utah","state","Transitional Center",NA,"A","M",NA,NA,NA,306,NA,NA,"Current",NA,"Public Records",40.732392,-111.915695,49035,84104,"SALT LAKE CITY",NA
"1620","GEO CARE SALT LAKE CITY CENTER","Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"458018666070100000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1621","NORTHERN UTAH COMMUNITY CORRECTIONAL CENTER","Utah","state","Prison",NA,"A","M",NA,NA,NA,154,NA,"450000000071500000000","Current",NA,"Public Records",41.222144,-112.0077493,49057,84401,"OGDEN",NA
"1622","ORANGE STREET COMMUNITY CORRECTIONAL CENTER","Utah","state","Transitional Center",NA,"A","F",NA,NA,NA,60,NA,"450000000070400000000","Current",NA,"Public Records",40.7675112,-111.9452923,49035,84116,"SALT LAKE CITY",NA
"1623","STATEWIDE","Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1624","UDC INMATES HOUSED AT A COUNTY JAIL","Utah","state","Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1625","UTAH STATE PRISON DRAPER","Utah","state","Prison","Max/Min","A","B",NA,NA,994,4300,10003464,"450000000070600000000","Current","HIFLD","HIFLD",40.49791208,-111.8952474,49035,84020,"DRAPER","SALT LAKE"
"1626","BARRE PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,50023,NA,NA,NA
"1627","BENNINGTON PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,50003,NA,NA,NA
"1628","BRATTLEBORO PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,50025,NA,NA,NA
"1629","BURLINGTON PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,50007,NA,NA,NA
"1630","CENTRAL OFFICE","Vermont","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1631","CHITTENDEN REGIONAL CORRECTIONAL FACILITY","Vermont","state","Prison",NA,"A","M",NA,NA,130,185,10001914,"460000000070600000000","Current","HIFLD","HIFLD",44.4465271,-73.2056379,50007,5403,"SOUTH BURLINGTON","CHITTENDEN"
"1632","HARTFORD PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1633","MIPP","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,50001,NA,NA,NA
"1634","MORRISVILLE PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1635","MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY","Vermont","state","Prison",NA,"A","M",NA,NA,126,118,10000095,"460000000070500000000","Current","HIFLD","HIFLD",43.60969029,-72.99078973,50021,5701,"RUTLAND","RUTLAND"
"1636","NORTHEAST CORRECTIONAL COMPLEX","Vermont","state","Prison",NA,"A","M",NA,NA,179,112,10000092,"460000000070400000000","Current","HIFLD","HIFLD",44.3948315,-72.02802613,50005,5819,"ST JOHNSBURY","CALEDONIA"
"1637","NEWPORT PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1638","NORTHERN STATE CORRECTIONAL FACILITY","Vermont","state","Prison",NA,"A","M",NA,NA,406,433,10001913,"460000000070800000000","Current","HIFLD","HIFLD",44.90631302,-72.19093593,50019,5855,"NEWPORT","ORLEANS"
"1639","NORTHWEST STATE CORRECTIONAL FACILITY","Vermont","state","Prison",NA,"A","M",NA,NA,221,246,10001116,"460000000070100000000","Current","HIFLD","HIFLD",44.8500905,-73.1322655,50011,5488,"SWANTON","FRANKLIN"
"1640","OUT OF STATE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1641","RUTLAND PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1642","SAINT ALBANS PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1643","SAINT JOHNSBURY PROBATION AND PAROLE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1644","SOUTHERN STATE CORRECTIONAL FACILITY","Vermont","state","Prison",NA,"A","M",NA,NA,2017,370,10000094,"460000000071200000000","Current","HIFLD","HIFLD",43.26981382,-72.43805111,50027,5156,"SPRINGFIELD","WINDSOR"
"1645","STATEWIDE","Vermont","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1646","ADMINISTRATION OPERATIONS","Virginia","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"1647","APPALACHIAN MENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM","Virginia","state","Prison","Med","A","M",NA,NA,53,106,10006672,"470000000075100000000","Current","HIFLD","HIFLD",36.99765974,-81.92883065,51167,24260,"HONAKER","RUSSELL"
"1648","AUGUSTA CORRECTIONAL CENTER","Virginia","state","Prison","Max","A","M",NA,NA,1342,1222,10001573,"470000000075000000000","Current","HIFLD","HIFLD",38.06163878,-79.36793554,51015,24430,"CRAIGSVILLE","AUGUSTA"
